================ Training Loss (Wed Feb 26 11:24:39 2020) ================
(epoch: 12, iters: 200, time: 0.065, data: 0.001) G_GAN: 3.282 G_L1: 31.339 D_real: 0.199 D_fake: 0.041 
(epoch: 12, iters: 300, time: 0.065, data: 0.001) G_GAN: 3.041 G_L1: 37.386 D_real: 0.001 D_fake: 0.765 
(epoch: 12, iters: 400, time: 0.216, data: 0.001) G_GAN: 0.926 G_L1: 26.100 D_real: 1.481 D_fake: 0.182 
(epoch: 13, iters: 100, time: 0.073, data: 0.105) G_GAN: 1.449 G_L1: 38.648 D_real: 1.112 D_fake: 0.626 
(epoch: 13, iters: 200, time: 0.065, data: 0.001) G_GAN: 2.252 G_L1: 41.314 D_real: 0.323 D_fake: 0.056 
(epoch: 13, iters: 300, time: 0.065, data: 0.001) G_GAN: 1.183 G_L1: 29.725 D_real: 0.584 D_fake: 0.440 
(epoch: 13, iters: 400, time: 0.191, data: 0.001) G_GAN: 2.805 G_L1: 32.418 D_real: 0.830 D_fake: 0.023 
(epoch: 14, iters: 100, time: 0.065, data: 0.094) G_GAN: 0.422 G_L1: 23.019 D_real: 2.697 D_fake: 0.483 
(epoch: 14, iters: 200, time: 0.065, data: 0.001) G_GAN: 2.794 G_L1: 28.209 D_real: 0.011 D_fake: 0.819 
(epoch: 14, iters: 300, time: 0.065, data: 0.001) G_GAN: 2.353 G_L1: 38.253 D_real: 0.067 D_fake: 0.318 
(epoch: 14, iters: 400, time: 0.203, data: 0.001) G_GAN: 0.961 G_L1: 30.973 D_real: 1.251 D_fake: 0.332 
(epoch: 15, iters: 100, time: 0.065, data: 0.137) G_GAN: 2.666 G_L1: 48.136 D_real: 0.046 D_fake: 0.194 
(epoch: 15, iters: 200, time: 0.065, data: 0.001) G_GAN: 1.082 G_L1: 29.271 D_real: 0.596 D_fake: 0.425 
(epoch: 15, iters: 300, time: 0.065, data: 0.001) G_GAN: 4.254 G_L1: 35.714 D_real: 0.264 D_fake: 0.019 
(epoch: 15, iters: 400, time: 0.213, data: 0.001) G_GAN: 2.588 G_L1: 55.250 D_real: 0.000 D_fake: 0.403 
(epoch: 16, iters: 100, time: 0.071, data: 0.112) G_GAN: 4.520 G_L1: 40.075 D_real: 0.080 D_fake: 0.013 
(epoch: 16, iters: 200, time: 0.071, data: 0.002) G_GAN: 2.721 G_L1: 42.891 D_real: 0.002 D_fake: 0.113 
(epoch: 16, iters: 300, time: 0.072, data: 0.001) G_GAN: 4.051 G_L1: 42.036 D_real: 0.103 D_fake: 0.026 
(epoch: 16, iters: 400, time: 0.221, data: 0.001) G_GAN: 2.302 G_L1: 28.339 D_real: 0.020 D_fake: 0.124 
(epoch: 17, iters: 100, time: 0.076, data: 0.136) G_GAN: 2.950 G_L1: 29.597 D_real: 0.205 D_fake: 0.105 
(epoch: 17, iters: 200, time: 0.068, data: 0.001) G_GAN: 0.726 G_L1: 21.587 D_real: 2.834 D_fake: 0.056 
(epoch: 17, iters: 300, time: 0.066, data: 0.001) G_GAN: 3.553 G_L1: 31.793 D_real: 0.080 D_fake: 0.028 
